Time_Closeness,Semantic_Similarity,Emotional_Alignment,Linked,story_id,Source_ID,Target_ID
2.833020898345261e-07,0.8794638919258861,0.8104496477296996,1,B,177,183
4.654453164355583e-08,0.8361133716440103,0.8788830066137847,0,D,312,331
9.758571954000824e-08,0.8303610179233721,0.7896837477944814,1,C,248,255
2.310867030146023e-08,0.9291524442574726,0.8282182976918416,1,E,450,453
1.921579565458647e-09,0.8671529051902223,0.7876899353871087,0,E,405,459
3.39540115323442e-08,0.8313777036990768,0.7931242301543335,0,D,342,357
2.1138252180659086e-08,0.9142302964061084,0.8592259031261003,0,C,222,266
1.5631836485988168e-07,0.9377300466369357,0.8766166288075263,1,E,437,438
2.2750017574388577e-07,0.8646189339057044,0.842088883641902,1,B,101,109
1.8334561412814365e-08,0.8037498813621986,0.8323464687949773,0,A,38,76
3.1246084475039223e-07,0.8892734824310733,0.7927109641015895,1,B,141,149
2.2750017574388577e-07,0.8242329987126629,0.9093487904096877,0,C,253,264
8.901706555065378e-08,0.8728426013469893,0.8371347835587302,1,A,83,86
1.1918532051711493e-09,0.8933991405441658,0.8911045063615384,0,E,427,490
1.709638399340107e-08,0.9389740779635266,0.8722774627389442,1,E,436,442
8.574710725702635e-08,0.824174675752771,0.8092774730355525,1,C,213,221
9.56204861154273e-07,0.9172473756073072,0.8509909280683869,1,B,156,160
4.9678577122091215e-08,0.9203957302741368,0.8575482563607377,1,E,425,428
1.9776994217661762e-08,0.8727530566975874,0.8632296799724346,0,B,102,155
7.563723805784448e-08,0.8864577192940382,1.0,1,B,113,123
9.635859891128273e-08,0.8605111810811852,0.8518147861429466,1,C,272,278
6.645400940629922e-08,0.8889812089524214,0.8307475078752806,1,D,366,374
1.3504022375624916e-07,0.9051368132894635,0.7962056655481493,1,B,190,199
1.037568261226818e-08,0.8343538649484046,0.8650190297281386,0,D,305,371
1.2051095197506e-07,0.88784678733671,0.8093673380467482,1,A,85,89
2.3052092426903544e-07,0.8508674398325876,0.8366634297926362,1,C,245,247
3.6965816094451297e-09,0.8950119551109306,0.9229939292332956,0,E,424,449
6.841812505601734e-07,0.9321559490219712,0.8726676480760488,1,B,103,107
1.2526054035818828e-08,0.8609157773252802,0.8030538246934218,0,A,34,80
1.2860065766376328e-06,0.9206707160195016,0.8391832123319104,1,B,146,148
2.7500026743776008e-08,0.870731066423672,0.8377351752236513,0,C,234,268
2.2195582590761622e-07,0.881887887278771,0.8303831144588993,1,B,176,184
7.3656685643157764e-09,0.8497656453434314,0.8727442349572125,0,A,1,88
9.265435358254081e-08,0.9047340829036358,0.8167904660303792,1,B,189,199
1.2913514945245387e-09,0.883228201540031,0.9066760101250335,0,E,419,479
1.7567529275101727e-08,0.9543868129491038,0.9388512379906124,1,E,432,438
8.104383815188928e-08,0.846478959087642,0.8677489306874138,0,B,134,160
1.684931293809372e-08,0.9738568222966371,0.8066775732129448,1,E,427,434
